saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces
2009,7,222131.64684295337,1690,2,2,1.5,1910,St. Anthony East,Northeast,5160,0
2005,11,413871.94346289756,2406,4,2,1.2,1939,Minnehaha,Nokomis,8100,1
2015,11,127711.25423814266,1966,5,2,1,1980,Near - North,Near North,5352,0
2009,12,397387.77162785776,2446,2,2,1,1953,Cedar - Isles - Dean,Calhoun-Isles,11985,2
2006,5,441874.217585693,3210,4,2,2,1900,Lowry Hill East,Calhoun-Isles,3139,1
2012,12,333401.27410572575,1594,2,2,1.7,1922,CARAG,Calhoun-Isles,5418,1
2010,4,222361.2369654513,1917,3,2,1.2,1928,Minnehaha,Nokomis,5120,0
2012,3,101300.99865825784,2728,5,2,2,1915,McKinley,Camden,6280,0
2013,9,179946.01445552017,3175,4,2,1.5,1929,Willard - Hay,Near North,7095,1
2009,11,125212.59103086994,1280,2,1,1,1925,Morris Park,Nokomis,5120,0
2006,12,266583.1610044314,2917,3,2,2,1913,Audubon Park,Northeast,5000,0
2014,10,249755.8017099777,1764,3,1,1.2,1950,Keewaydin,Nokomis,7581,0
2007,5,253141.50564678002,1696,2,1,1.2,1920,Howe,Longfellow,5120,1
2005,5,245705.20661157026,1768,2,1,1.2,1922,Standish,Powderhorn,5334,0
2015,9,421206.5448972202,1966,3,2,2,1926,Lynnhurst,Southwest,5120,1
2008,8,173894.73684210528,2116,3,2,1.7,1908,Bancroft,Powderhorn,5347,0
2006,7,215891.0675209463,1428,2,2,1,1924,Victory,Camden,5116,0
2012,4,191241.56256681227,1978,3,2,1.5,1925,Windom,Southwest,5760,1
2010,10,400210.74257538747,3372,6,3,2.2,1900,Prospect Park - East River Road,University,4653,1
2014,10,180801.48254222298,2260,3,1,1.2,1929,Keewaydin,Nokomis,6216,1
2013,9,198602.99386839313,1840,2,1,1.2,1925,Howe,Longfellow,5080,0
2015,2,282646.4974377714,1538,3,2,1,1950,Bryn - Mawr,Calhoun-Isles,5120,0
2011,8,427604.7517536023,3648,4,3,2.5,1900,Prospect Park - East River Road,University,12228,2
2012,6,199693.8964835203,2424,3,2,1.2,1951,Diamond Lake,Nokomis,7261,1
2015,5,342676.02246404026,2306,3,2,1.2,1950,Armatage,Southwest,6300,0
2008,8,193583.15789473685,2460,4,3,2,2004,Jordan,Near North,5401,0
2005,9,346921.1267605634,2605,2,3,1.7,1912,Seward,Longfellow,6120,0
2012,9,119975.2397030496,1525,2,1,1.5,1912,Howe,Longfellow,6000,0
2014,12,280466.48493981006,1925,2,2,1.2,1925,Diamond Lake,Nokomis,6402,1
2011,9,233250.7491273053,1960,3,2,1,1950,Waite Park,Northeast,7500,2
2006,1,333761.1239337682,2099,3,2,1,2001,Central,Powderhorn,5376,0
2008,10,190105.02546141617,1664,2,1,1.7,1908,Powderhorn Park,Powderhorn,6381,0
2007,7,459506.26917722763,2477,3,3,1.7,1906,CARAG,Calhoun-Isles,5154,0
2005,10,253971.53189352088,2009,2,1,1.2,1939,Keewaydin,Nokomis,5960,1
2014,3,223930.72008405783,2387,3,2,1.2,1925,Longfellow,Longfellow,5680,0
2006,8,243081.9829636899,1487,2,1,1.5,1919,Minnehaha,Nokomis,6400,0
2015,3,338701.56287080044,2916,3,2,2,1913,Whittier,Powderhorn,12500,1
2012,2,194105.63528942884,2324,3,2,1.7,1915,Howe,Longfellow,5880,0
2011,10,186474.6901874311,3243,4,2,2.5,1900,Central,Powderhorn,5410,1
2011,10,142130.09922822492,1795,3,1,1.5,1910,Hiawatha,Longfellow,5418,0
